document_id,path,title,primary_process,information_item,lifecycle_status,authority,owner_role,baseline,superseded_by,retention
DOC-47341E2DB5,docs/aspice/supporting/reviews/software-domain-document-audit-2026-07-17.md,Automotive SPICE 4.0 软件域文档审核报告,SUP.1/SUP.9,Review/Problem Analysis Evidence,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-4846F159CC,docs/aspice/supporting/reviews/software-function-audit-2026-07-17.csv,software function audit 2026 07 17,SUP.1/SUP.9,Review/Problem Analysis Evidence,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-AC6494AAAC,docs/aspice/supporting/reviews/software-function-audit-summary-2026-07-17.json,software function audit summary 2026 07 17,SUP.1/SUP.9,Review/Problem Analysis Evidence,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-A768567FD0,docs/aspice/supporting/software-domain-scope-and-closure.md,ASPICE 软件域范围与关闭准则,SWE.1-SWE.6,15-52 Evaluation Results,agreed,normative,process-owner,ASPICE-DOC-2026-07-17,,permanent
DOC-E30A256C95,docs/aspice/SWE.1-software-requirements.md,SWE.1 软件需求分析,SWE.1,17-00 Software Requirements,agreed,normative,process-owner,ASPICE-DOC-2026-07-17,,permanent
DOC-3D616DDBC2,docs/aspice/SWE.2-software-architecture.md,SWE.2 软件架构设计,SWE.2,04-04 Software Architecture,agreed,normative,process-owner,ASPICE-DOC-2026-07-17,,permanent
DOC-F2195CD51F,docs/aspice/SWE.3-software-detailed-design.md,SWE.3 软件详细设计,SWE.3,04-05 Software Detailed Design,agreed,normative,process-owner,ASPICE-DOC-2026-07-17,,permanent
DOC-D0D6B75AB7,docs/aspice/SWE.4-unit-testing.md,SWE.4 单元测试（UT）,SWE.4,08-50 Unit Verification,agreed,normative,process-owner,ASPICE-DOC-2026-07-17,,permanent
DOC-35AA23F884,docs/aspice/SWE.5-integration-testing.md,SWE.5 集成测试（IT）,SWE.5,08-52 Integration Verification,agreed,normative,process-owner,ASPICE-DOC-2026-07-17,,permanent
DOC-30221D3FBB,docs/aspice/SWE.6-validation-testing.md,SWE.6 验证测试（VT）,SWE.6,08-54 Software Qualification Test,agreed,normative,process-owner,ASPICE-DOC-2026-07-17,,permanent
DOC-F2090EA4FF,docs/aspice/traceability.md,软件双向追溯,SWE.1-SWE.6,13-51 Consistency Evidence,agreed,normative,process-owner,ASPICE-DOC-2026-07-17,,permanent
DOC-98401FA477,docs/aspice/verification-results/latest.md,ASPICE 软件域验证结果,SWE.4-SWE.6,08-60/15-52 Verification,agreed,normative,process-owner,ASPICE-DOC-2026-07-17,,permanent
DOC-3FAAF1B598,docs/aspice/verification-results/software-domain-2026-07-18.yaml,software domain 2026 07 18,SWE.4-SWE.6,08-60/15-52 Verification,agreed,normative,process-owner,ASPICE-DOC-2026-07-17,,permanent
DOC-0DA09CBB3D,docs/operations/integrations/cursor-mcp.json.example,cursor mcp.json,SUP.8/MAN.3,Operation/Configuration Guidance,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-9DD7202019,docs/operations/integrations/jin10-mcp.md,金十数据 MCP 接入,SUP.8/MAN.3,Operation/Configuration Guidance,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-F4C8F2402A,docs/operations/onboarding.md,开发者上手指南,SUP.8/MAN.3,Operation/Configuration Guidance,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-24A8C86FF5,docs/operations/setup.md,环境搭建与运行,SUP.8/MAN.3,Operation/Configuration Guidance,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-6696D88CD5,docs/operations/walkthrough.md,界面操作动线,SUP.8/MAN.3,Operation/Configuration Guidance,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-4D6FC0E461,docs/overview/codex-autonomy.md,Codex 自动优化目标模板,SWE.1,Stakeholder/Software Context,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-7FB62E0AB7,docs/overview/project.md,Project Overview,SWE.1,Stakeholder/Software Context,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-42C772A13A,docs/overview/status.md,Current Status,SWE.1,Stakeholder/Software Context,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-48E4595A68,docs/planning/audit-plan.md,交易分析系统持续审核蓝图,MAN.3/MAN.5,Project/Risk Plan,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-E2A580E5EC,docs/planning/roadmap.md,GoldAnalysisAI 路线图,MAN.3/MAN.5,Project/Risk Plan,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-9F7CBCE127,docs/README.md,GoldAnalysisAI 文档中心,SUP.8,Document/Automation Guidance,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-EA3C687177,docs/reference/cheat-sheet.md,开发者速查表,SWE.3,Detailed Design/Interface Reference,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-8A3712A2FC,docs/reference/examples/report-schema.md,报告 JSON 结构说明,SWE.3,Detailed Design/Interface Reference,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-232078F8B5,docs/reference/examples/sample-report.json,sample report,SWE.3,Detailed Design/Interface Reference,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-13E6E65583,docs/reference/glossary.md,术语表,SWE.3,Detailed Design/Interface Reference,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-6C0165DDBF,docs/reference/handbook.md,GoldAnalysisAI 开发参考手册,SWE.3,Detailed Design/Interface Reference,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-B5E3EEEA7E,docs/reference/pipeline-steps.yaml,pipeline steps,SWE.3,Detailed Design/Interface Reference,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-BDFCA22663,docs/reference/run-archive-schema.md,Run archive replay contract,SWE.3,Detailed Design/Interface Reference,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-CDE70556E1,docs/reviews/financial/runtime-review-2026-06-20.md,金融评审 · 实跑结论（2026-06-20）,SUP.1/SUP.9,Review/Problem Analysis Evidence,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-CB4CDD180E,docs/reviews/financial/static-code-review.md,GoldAnalysisAI 金融实现 Review 报告,SUP.1/SUP.9,Review/Problem Analysis Evidence,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-63E56883D4,docs/reviews/findings-status.md,评审发现项 · 完成状态登记,SUP.1/SUP.9,Review/Problem Analysis Evidence,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-E01DD287F1,docs/reviews/gui/streamlit-acceptance-2026-07-08.md,GUI 验收快照：2026-07-08,SUP.1/SUP.9,Review/Problem Analysis Evidence,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-96A91F4C5A,docs/reviews/README.md,评审文档索引,SUP.1/SUP.9,Review/Problem Analysis Evidence,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-FCAA181813,docs/testing/strategy.md,Testing Strategy,SWE.4-SWE.6,Verification Strategy/Measure,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-8EC9A00BFD,README.md,GoldAnalysisAI — XAUUSD PA+ICT 分析报告,SWE.1,Stakeholder/Software Context,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-7A21C54D5C,tests/cases/catalog.yaml,catalog,SWE.4-SWE.6,Verification Strategy/Measure,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-3D3733A540,tests/cases/financial-review-cases.md,金融 Review 测试用例设计,SWE.4-SWE.6,Verification Strategy/Measure,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-FDD1CF1A43,tests/cases/README.md,测试用例目录,SWE.4-SWE.6,Verification Strategy/Measure,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-43BD0229AB,tests/cases/test-plan.md,GoldAnalysisAI 测试用例设计,SWE.4-SWE.6,Verification Strategy/Measure,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
DOC-D4754804F8,tests/README.md,GoldAnalysisAI 测试体系,SWE.4-SWE.6,Verification Strategy/Measure,reviewed,supporting,document-owner,ASPICE-DOC-2026-07-17,,until-superseded
